"CODE","zh_CN"
"AVO_MOD_MP05","工业 - 矿业"
"AVO_MOD_MP06","工业 - 石油"
"AVO_MOD_MP07","工业 - 渔业"
"AVO_MOD_MP08","工业 - 配送"
"AVO_MOD_MP09","工业 - 独特工厂"
"AVO_MOD_MP10","警察"
"AVO_MOD_MP11","监狱"
"AVO_MOD_MP12","消防"
"AVO_MOD_MP13","应急相应"
"AVO_MOD_MP14","医疗"
"AVO_MOD_MP15","遗体处理"
"AVO_MOD_MP16","垃圾"
"AVO_MOD_MP17","垃圾运输"
"AVO_MOD_MP18","维护"
"AVO_MOD_MP19","邮政"
"AVO_MOD_MP20","公交"
"AVO_MOD_MP21","城际公交"
"AVO_MOD_MP22","无轨电车"
"AVO_MOD_MP23","出租车"
"AVO_MOD_MP24","地铁"
"AVO_MOD_MP25","有轨电车"
"AVO_MOD_MP26","轻轨"
"AVO_MOD_MP27","缆车"
"AVO_MOD_MP28","火车 - 货列"
"AVO_MOD_MP29","火车 - 客列"
"AVO_MOD_MP30","船只 - 货运"
"AVO_MOD_MP31","船只 - 游轮"
"AVO_MOD_MP32","船只 - 渡船"
"AVO_MOD_MP33","飞机 - 货运"
"AVO_MOD_MP34","飞机 - 客运"
"AVO_MOD_MP35","本地航空运输"
"AVO_MOD_MP36","旅游"
"AVO_MOD_MP37","发射场"
"AVO_MOD_MP38","自然灾害"
"AVO_MOD_MP39","选中一个车辆类别显示 - 提示：鼠标滚轮可以快速切换"
"AVO_MOD_MP40","输入车辆名称"
"AVO_MOD_MP41","对车辆配置的操作："
"AVO_MOD_MP42","导入"
"AVO_MOD_MP43","加载现存的车辆配置"
"AVO_MOD_MP44","导出"
"AVO_MOD_MP45","保存当前车辆配置"
"AVO_MOD_MP46","重置全部"
"AVO_MOD_MP47","重置全部配置"
"AVO_MOD_MP48","已启用自动保存"
"AVO_MOD_MP49","车辆配置自动保存已启用，任何更改均会被保存至外部配置文件"
"AVO_MOD_MP50","点此处浏览现存的此类车辆，按住Shift聚焦到车辆"
"AVO_MOD_MP51","点击此处移除被选中的车辆"
"AVO_MOD_MP52","确定重置配置"
"AVO_MOD_MP53","自定义的全部车辆参数会被重置。你确定要继续吗？"
"AVO_MOD_MP54","全部车辆配置已经重置为默认配置"
"AVO_MOD_MP55","搜索："
"AVO_MOD_MP56","类别："
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03","警告：IPT 已启用，该参数可能被覆写"
"AVO_MOD_OP04","警告：TLM 已启用，该参数可能被覆写"
"AVO_MOD_OP05","操作："
"AVO_MOD_OP06","最高速度："
"AVO_MOD_OP07","更改车辆最高速度。请注意，车辆不会超过路网限速"
"AVO_MOD_OP08","加速/刹车/转向："
"AVO_MOD_OP09","更改车辆加速因子。
定义车辆提速速率。"
"AVO_MOD_OP10","更改车辆刹车因子。
定义车辆刹车速率。"
"AVO_MOD_OP11","更改车辆转向因子。
定义车辆转向速率。"
"AVO_MOD_OP12","悬挂/阻尼"
"AVO_MOD_OP13","更改车辆悬挂因子。
定义车辆悬挂行程。"
"AVO_MOD_OP14","更改车辆阻尼因子。
定义车辆恢复平稳速率。"
"AVO_MOD_OP15","侧倾/俯仰比例："
"AVO_MOD_OP16","更改车辆侧倾因子。
定义车辆转向时侧倾角度。"
"AVO_MOD_OP17","更改车辆俯仰因子。
定义车辆加减速时俯仰角度。"
"AVO_MOD_OP18","启用色彩变化："
"AVO_MOD_OP19","启用色彩变化：
车辆会随机选择如下4种颜色"
"AVO_MOD_OP20","颜色由ACE模组控制"
"AVO_MOD_OP21","允许生成该车辆"
"AVO_MOD_OP22","请确保每项中至少有一辆车允许生成"
"AVO_MOD_OP23","更改末尾车厢为牵引车头"
"AVO_MOD_OP24","更改这列火车的最后一节为牵引车头"
"AVO_MOD_OP25","标记为大型车"
"AVO_MOD_OP26","禁止带挂车的车辆向小型建筑运送货物，该内容由NBC模组控制"
"AVO_MOD_OP27","更改车辆容量"
"AVO_MOD_OP28","特殊容量："
"AVO_MOD_OP29","更改该车辆的特定参数"
"AVO_MOD_OP30","如果你不知道这项参数的作用：
不要修改！点击查看使用指南：特殊容量"
"AVO_MOD_OP31","在TLM界面修改车辆生成规则"
"AVO_MOD_OP32","打开交通线路面板并管理车辆生成"
"AVO_MOD_OP33","点击查看指南：生成控制"
"AVO_MOD_OP34","公交车挂车生成由其牵引车控制。设置必需通过交通线路面板更改"
"AVO_MOD_OP35","默认参数"
"AVO_MOD_OP36","重置全部数值为默认值"
"AVO_MOD_OP37","全局操作："
"AVO_MOD_OP38","移除行驶中的车辆"
"AVO_MOD_OP39","移除全部选中类型的行驶中的车辆。按住Shift移除全部类型"
"AVO_MOD_OP40","移除停靠车辆"
"AVO_MOD_OP41","移除全部选中类型的停靠的车辆，按住Shift移除全部类别"
"AVO_MOD_OP42","服务可能无法正常工作因为禁止了任何车辆生成"
"AVO_MOD_OP43","机位大小："
"AVO_MOD_OP44","小型"
"AVO_MOD_OP45","中型"
"AVO_MOD_OP46","大型"
"AVO_MOD_OP47","货机"
"AVO_MOD_OP48","同步牵引车与挂车"
"AVO_MOD_OP49","如果启用，牵引车的设置会同步到全部挂车"
"AVO_MOD_OP50","选择定义机位位置大小"
"AVO_MOD_WM01","警告"
"AVO_OPT_SYNC","记住牵引车/挂车同步设置"
"AVO_OPT_SYNC_TT","若启用，会记住牵引车/挂车之间的同步设置，反之同步设置仅为单次有效（默认关闭）"
