"CODE","nl"
"AVO_MOD_MP52","Bevestiging vereist"
"AVO_MOD_MP53","Alle gewijzigde voertuigwaarden worden gereset. Moet de configuratie opnieuw worden ingesteld?"
"AVO_MOD_MP54","De voertuigconfiguratie en alle gewijzigde waarden werden teruggezet op de standaardinstellingen van het spel."
"AVO_MOD_MP55","Zoeken:"
"AVO_MOD_MP56","Categorie:"
"AVO_MOD_OP01","km/u"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," Waarchuwing: Improved Public Transport is actief en kan deze instelling overschrijven."
"AVO_MOD_OP04"," Waarchuwing: Transport Lines Manager is actief en kan deze instelling overschrijven."
"AVO_MOD_OP05","Acties voor: "
"AVO_MOD_OP06","Maximum snelheid: "
"AVO_MOD_OP07","Wijzig de maximumsnelheid van het voertuig. Let op, dat voertuigen niet
sneller gaan dan de maximumsnelheid van het netwerk dat ze gebruiken."
"AVO_MOD_OP08","Versnelling/Remmen/Draaien: "
"AVO_MOD_OP09","Verander de versnellingsfactor van het voertuig.
Bepaalt hoe snel de auto versnelt."
"AVO_MOD_OP10","Verander de remfactor van het voertuig.
Bepaalt hoe snel de auto remt."
"AVO_MOD_OP11","Verander de draaifactor van het voertuig.
Bepaalt hoe goed de auto bochten neemt."
"AVO_MOD_OP12","Vering/Dempers"
"AVO_MOD_OP13","Verander de veerfactor van het voertuig.
Bepaalt hoe sterk de vering reageert."
"AVO_MOD_OP14","Verander de dempingsfactor van het voertuig.
Bepaalt hoe snel de ophanging terugkeert naar zijn oorspronkelijke positie."
"AVO_MOD_OP15","Hellen/Knikken vermenigvuldiger: "
"AVO_MOD_OP16","Verander de hellingsfactor van het voertuig.
Bepaalt hoeveel het voertuig overhelt naar de zijkant bij het nemen van een bocht."
"AVO_MOD_OP17","Verander de knikfactor van het voertuig.
Bepaalt hoeveel het voertuig voorwaarts/achterwaarts knikt bij het optrekken of afremmen."
"AVO_MOD_OP18","Kleurvariaties inschakelen:"
"AVO_MOD_OP19","Schakel de kleurvariaties in.
Een willekeurige kleur wordt gekozen uit de volgende vier kleuren."
"AVO_MOD_OP20","Kleuren worden beheerd door Vehicle/Asset Color Expander"
"AVO_MOD_OP21","Voertuig verschijnt in het spel"
"AVO_MOD_OP22","Zorg ervoor dat in elke categorie minstens
één voertuig in het spel kan verschijnen."
"AVO_MOD_OP23","Vervang de laatste wagon met een locomotief"
"AVO_MOD_OP24","De laatste wagon van de trein wordt vervangen door een locomotief."
"AVO_MOD_OP25","Markeer as groot voertuig"
"AVO_MOD_OP26","Voorkom dat voertuigen met aanhanger aan kleine gebouwen kunnen leveren.
Dit gedrag wordt gecontroleerd door de No Big Trucks mod."
"AVO_MOD_OP27","Verander de capaciteit van het voertuig."
"AVO_MOD_OP28","Speciale capaciteit: "
"AVO_MOD_OP29","Verander geavanceerde parameters van dit voertuig."
"AVO_MOD_OP30","Als je niet weet wat dit is: Verander het niet!
Meer informatie in de gebruikersgids: Speciale Capaciteit."
"AVO_MOD_OP31","Configureren in Transport Line Overview"
"AVO_MOD_OP32","Open het overzicht van alle transportlijnen 
en beheer het verschijnen van voertuigen."
"AVO_MOD_OP33","Klik hier voor de gebruikersgids: Spawn Control"
"AVO_MOD_OP34","Busaanhangwagens worden bestuurd door het hoofdvoertuig. De instellingen
voor bussen moeten worden geconfigureerd in het transportlijnoverzicht."
"AVO_MOD_OP35","Standaardwaarden"
"AVO_MOD_OP36","All waarden terugzetten naar standaard"
"AVO_MOD_OP37","Algemene acties voor: "
"AVO_MOD_OP38","Verwijder rijdende"
"AVO_MOD_OP39","Verwijder alle bewegende voertuigen van dit type.
Houd SHIFT ingedrukt om alle bewegende voertuigen
te verwijderen, ongeacht het geselecteerde type."
"AVO_MOD_OP40","Verwijder geparkeerde"
"AVO_MOD_OP41","Verwijder alle geparkeerde voertuigen van dit type.
Houd SHIFT ingedrukt om alle geparkeerde voertuigen
te verwijderen, ongeacht het geselecteerde type."
"AVO_MOD_OP42"," zal niet correct werken omdat er geen voertuigen mogen verschijnen."
"AVO_MOD_OP43","Standgrootte: "
"AVO_MOD_OP44","Klein"
"AVO_MOD_OP45","Middelgroot"
"AVO_MOD_OP46","Groot"
"AVO_MOD_OP47","Vracht"
"AVO_MOD_OP48","Synchronisatie
Trekker/aanhangwagen"
"AVO_MOD_OP49","Indien ingeschakeld zijn de eigenschappen van de trekker
gesynchroniseerd met alle aanhangwagens."
"AVO_MOD_OP50","De selectie bepaalt de grootte van de standpositie."
"AVO_MOD_WM01","Waarschuwing"
"AVO_OPT_SYNC","Onthoud trekker/aanhanger synchronisatie"
"AVO_OPT_SYNC_TT","Indien ingeschakeld, wordt de synchronisatie tussen trekker/aanhangwagen
onthouden, anders is elke synchronisatie uniek. (Standaard: uitgeschakeld)"
