"CODE","ja"
"AVO_MOD_MP31","船舶 - 旅客"
"AVO_MOD_MP32","船舶 - フェリー"
"AVO_MOD_MP33","航空機 - 貨物"
"AVO_MOD_MP34","航空機 - 旅客"
"AVO_MOD_MP35","都市内の航空交通"
"AVO_MOD_MP36","観光バス + ツアー"
"AVO_MOD_MP37","ロケット発射場"
"AVO_MOD_MP38","自然災害"
"AVO_MOD_MP39","表示したい車両カテゴリを選択します
Tips: マウスホイールを使うと、より速くカテゴリーを移動できます"
"AVO_MOD_MP40","車両タイプの名前を入力して検索"
"AVO_MOD_MP41","車両設定のアクション:"
"AVO_MOD_MP42","インポート"
"AVO_MOD_MP43","既存の車両設定をロード"
"AVO_MOD_MP44","エクスポート"
"AVO_MOD_MP45","現在の車両設定をセーブ"
"AVO_MOD_MP46","全てリセット"
"AVO_MOD_MP47","設定を完全にリセット"
"AVO_MOD_MP48","車両データ -
オートセーブが有効"
"AVO_MOD_MP49","車両の設定データのオートセーブが有効になっています
全ての変更は外部の設定ファイルへすぐに保存されます"
"AVO_MOD_MP50","ここをクリックすると、選択中の既存車両へ循環して切り替えます
Shiftキーを押しながらクリックすると、車両に直接ズームします"
"AVO_MOD_MP51","ここをクリックして選択した車両を削除します"
"AVO_MOD_MP52","設定のリセットを確認"
"AVO_MOD_MP53","全車両のカスタマイズ設定をリセットします。設定をリセットしますか？"
"AVO_MOD_MP54","全ての車両設定とカスタマイズ設定が、ゲームのデフォルトにリセットされました"
"AVO_MOD_MP55","検索:"
"AVO_MOD_MP56","カテゴリー:"
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," 警告: Improved Public Transportが有効で、この設定が上書きされる場合があります"
"AVO_MOD_OP04"," 警告: Transport Lines Managerが有効で、この設定が上書きされる場合があります"
"AVO_MOD_OP05","操作の対象: "
"AVO_MOD_OP06","最高速度: "
"AVO_MOD_OP07","車両の最高速度をデフォルトから変更します
車両は走行中のネットワークにある速度制限を超えることはありません"
"AVO_MOD_OP08","アクセル/ブレーキ/ターン: "
"AVO_MOD_OP09","車両のアクセルに関する係数を変更します
車両の加速時の速さを定義します"
"AVO_MOD_OP10","車両のブレーキに関する係数を変更します
車両のブレーキの強さを定義します"
"AVO_MOD_OP11","車両のターンに関する係数を変更します
車両のコーナーリング性能を定義します"
"AVO_MOD_OP12","スプリング/ダンパー"
"AVO_MOD_OP13","車両のスプリングに関する係数を変更します
サスペンションがどのくらい上下に動くか定義します"
"AVO_MOD_OP14","車両のダンパーに関する係数を変更します
サスペンションがデフォルト状態に戻る速さを定義します"
"AVO_MOD_OP15","リーン/ノッドの倍率: "
"AVO_MOD_OP16","車両のリーンに関する乗算係数を変更します
コーナーリング時に車両が左右にどれだけ傾くか定義します"
"AVO_MOD_OP17","車両のノッドに関する乗算係数を変更します
ブレーキ時や加速時に車両が前後にどれだけ傾くか定義します"
"AVO_MOD_OP18","カラーバリエーションを有効化:"
"AVO_MOD_OP19","車両のカラーバリエーションを有効化します
以下の4色の間でランダムなカラーが選択されます"
"AVO_MOD_OP20","Vehicle/Asset Color Expanderによって、カラーを管理中です"
"AVO_MOD_OP21","車両のスポーンを許可"
"AVO_MOD_OP22","選択中のカテゴリ内でスポーンできる車両が、
最低でも1種類あることを確認してください"
"AVO_MOD_OP23","最後尾の車両をエンジン車に変更"
"AVO_MOD_OP24","列車最後尾の車両をエンジン車 (先頭車両) に変更します"
"AVO_MOD_OP25","大型トラックとして指定"
"AVO_MOD_OP26","トレーラー付きのトラックが、小さな建物への配送を防止します
この機能は、No Big Trucks MODで制御されます"
"AVO_MOD_OP27","車両の積載量や定員などを変更します"
"AVO_MOD_OP28","特殊な積載量: "
"AVO_MOD_OP29","車両独自の特殊なパラメータを変更します"
"AVO_MOD_OP30","この数値が分からない場合は変更しないでください
クリックでユーザーガイド: 特殊な容量"
"AVO_MOD_OP31","公共交通の概要でスポーンを管理"
"AVO_MOD_OP32","公共交通の概要を開いて、
車両のスポーンを管理します"
"AVO_MOD_OP33","クリックでユーザーガイド: スポーンの制御"
"AVO_MOD_OP34","連節バスのトレーラー部は、メインのバスで制御されます
公共交通の概要パネルから設定する必要があります"
"AVO_MOD_OP35","既定値"
"AVO_MOD_OP36","全ての数値を既定に戻す"
"AVO_MOD_OP37","都市全体が対象: "
"AVO_MOD_OP38","走行車両を除去"
"AVO_MOD_OP39","指定タイプの走行車両を全て削除します
全ての走行車両を削除する場合は、SHIFT キーを押し続けます"
"AVO_MOD_OP40","駐車車両を除去"
"AVO_MOD_OP41","指定タイプの駐車車両を全て削除します
全ての駐車車両を削除する場合は、SHIFT キーを押し続けます"
"AVO_MOD_OP42"," 車両のスポーンが許可されていないため、正しく機能しない可能性があります"
"AVO_MOD_OP43","駐機場のサイズ: "
"AVO_MOD_OP44","小型"
"AVO_MOD_OP45","中型"
"AVO_MOD_OP46","大型"
"AVO_MOD_OP47","貨物"
"AVO_MOD_OP48","エンジン車 (先頭車両) と
トレーラーを同期"
"AVO_MOD_OP49","有効時はエンジン車のプロパティが、全てのトレーラーと同期します"
"AVO_MOD_OP50","選択時は駐機場のサイズが定義できます"
"AVO_MOD_WM01","警告！"
"AVO_OPT_SYNC","エンジン / トレーラーの同期設定を保存"
"AVO_OPT_SYNC_TT","有効時はエンジン/トレーラー間の同期設定を記憶します
それ以外の場合は、各同期は1回だけ行います (デフォルト: 無効)"
